scene,role,emotion,content
4-1,林天,,（低哑，混乱）我不是……已经死了吗？
4-1,旁白,,陌生，又真实。像是另一个自己，在死亡前最后一刻被硬生生塞进了他的灵魂。
4-1,林天,,（咬牙）这到底……是谁的记忆？！
4-2,旁白,,灾变之后，旧文明坍塌。人类退守七大联邦，墙外是废土，是异兽，是无数人埋骨的深渊。
4-2,林天,,（喘息）这是……我的前世？
4-3,系统音,,【检测到宿主意识完成融合。】
4-3,系统音,,【无限强化系统绑定中……10%……35%……70%……100%。】
4-3,林天,,（失神）系统……？
4-3,系统音,,【检测力量：41 点。当前境界判定：灵体境二重。】
4-3,系统音,,【新手礼包已发放：力量 +300。是否立即激活？】
4-3,林天,,（震惊，呼吸一滞）三百点？！
4-3,林天,,（低笑，眼神一点点亮起）原来……老天不是要我死。
4-4,林傲天,,（讥笑）怎么？装死装够了没有？
4-4,林婉儿,,（哭喊）哥！哥你说话啊！
4-4,系统音,,【是否激活新手礼包？】
4-4,林天,,（低吼）给我……激活！！！
4-5,围观群众,,（惊叫）这什么动静？！
4-5,围观群众,,碑石还没测完，他身上怎么会爆出灵压？！
4-5,林傲天,,（失声）什……什么？！
4-5,林天,,（低笑，沙哑）刚才啊……有点虚。
4-5,林天,,（抬眼，冷厉）现在——轮到我了。
